,시간,EMG버튼여부,충전상태,충전_에러코드,SOC(%),출력가능_전압(V),출력가능_전류(A),전압(V),전류(A),남은시간(s),충전코드,state
0,2022-04-28 09:40:20.624,40,2,3,0,0,0,8,0,0,5,100
1,2022-04-28 09:40:30.715,40,2,3,0,0,0,8,0,0,6,100
2,2022-04-28 09:40:40.761,40,3,3,42,421,4,359,0,61,8,100
3,2022-04-28 09:40:50.839,40,3,3,42,421,105,366,99,68,8,100
4,2022-04-28 09:41:00.839,40,3,3,42,421,112,368,112,68,8,100
5,2022-04-28 09:41:10.840,40,3,3,42,421,112,369,112,67,8,100
6,2022-04-28 09:41:20.840,40,3,3,43,421,112,369,112,67,8,100
7,2022-04-28 09:41:30.841,40,3,3,43,421,112,370,112,67,8,100
8,2022-04-28 09:41:40.841,40,3,3,43,421,112,370,112,67,8,100
9,2022-04-28 09:41:50.842,40,3,3,43,421,112,371,112,67,8,100
10,2022-04-28 09:42:00.842,40,3,3,43,421,112,372,112,67,8,100
11,2022-04-28 09:42:10.843,40,3,3,43,421,112,372,112,67,8,100
12,2022-04-28 09:42:20.843,40,3,3,43,421,112,372,112,67,8,100
13,2022-04-28 09:42:30.844,40,3,3,43,421,112,372,112,66,8,100
14,2022-04-28 09:42:40.844,40,3,3,43,421,112,372,112,66,8,100
15,2022-04-28 09:42:50.844,40,3,3,44,421,112,373,112,66,8,100
16,2022-04-28 09:43:00.845,40,3,3,44,421,112,373,112,66,8,100
17,2022-04-28 09:43:10.845,40,3,3,44,421,112,373,112,66,8,100
18,2022-04-28 09:43:20.846,40,3,3,44,421,112,374,112,66,8,100
19,2022-04-28 09:43:30.846,40,3,3,44,421,112,374,112,65,8,100
20,2022-04-28 09:43:40.847,40,3,3,44,421,112,374,112,65,8,100
21,2022-04-28 09:43:50.847,40,3,3,44,421,112,375,112,65,8,100
22,2022-04-28 09:44:00.848,40,3,3,45,421,112,374,112,65,8,100
23,2022-04-28 09:44:10.848,40,3,3,45,421,112,374,112,65,8,100
24,2022-04-28 09:44:20.849,40,3,3,45,421,112,374,112,65,8,100
25,2022-04-28 09:44:30.849,40,3,3,45,421,112,375,112,64,8,100
26,2022-04-28 09:44:40.850,40,3,3,45,421,112,374,112,64,8,100
27,2022-04-28 09:44:50.850,40,3,3,46,421,112,375,112,64,8,100
28,2022-04-28 09:45:00.851,40,3,3,46,421,112,375,112,64,8,100
29,2022-04-28 09:45:10.851,40,3,3,46,421,112,375,112,64,8,100
30,2022-04-28 09:45:20.852,40,3,3,46,421,112,375,112,64,8,100
31,2022-04-28 09:45:30.852,40,3,3,46,421,112,375,112,63,8,100
32,2022-04-28 09:45:40.853,40,3,3,46,421,112,375,112,63,8,100
33,2022-04-28 09:45:50.853,40,3,3,47,421,112,376,112,63,8,100
34,2022-04-28 09:46:01.338,40,3,3,47,421,112,376,112,63,8,100
35,2022-04-28 09:46:11.338,40,3,3,47,421,112,377,112,63,8,100
36,2022-04-28 09:46:21.339,40,3,3,47,421,112,376,112,63,8,100
37,2022-04-28 09:46:31.339,40,3,3,47,421,112,377,112,63,8,100
38,2022-04-28 09:46:41.340,40,3,3,47,421,112,376,112,62,8,100
39,2022-04-28 09:46:51.340,40,3,3,48,421,112,376,112,62,8,100
40,2022-04-28 09:47:01.341,40,3,3,48,421,112,377,112,62,8,100
41,2022-04-28 09:47:11.341,40,3,3,48,421,112,377,112,62,8,100
42,2022-04-28 09:47:21.342,40,3,3,48,421,112,378,112,61,8,100
43,2022-04-28 09:47:31.342,40,3,3,48,421,112,376,112,61,8,100
44,2022-04-28 09:47:41.343,40,3,3,49,421,112,378,112,61,8,100
45,2022-04-28 09:47:51.343,40,3,3,49,421,112,378,112,61,8,100
46,2022-04-28 09:48:01.344,40,3,3,49,421,112,378,112,61,8,100
47,2022-04-28 09:48:11.344,40,3,3,49,421,112,378,112,61,8,100
48,2022-04-28 09:48:21.345,40,3,3,49,421,112,378,112,60,8,100
49,2022-04-28 09:48:31.345,40,3,3,49,421,112,378,112,60,8,100
50,2022-04-28 09:48:41.346,40,3,3,50,421,112,378,112,60,8,100
51,2022-04-28 09:48:51.346,40,3,3,50,421,112,378,112,60,8,100
52,2022-04-28 09:49:01.347,40,3,3,50,421,112,379,112,60,8,100
53,2022-04-28 09:49:11.347,40,3,3,50,421,112,378,112,60,8,100
54,2022-04-28 09:49:21.347,40,3,3,50,421,112,379,112,59,8,100
55,2022-04-28 09:49:31.348,40,3,3,50,421,112,378,112,59,8,100
56,2022-04-28 09:49:41.348,40,3,3,51,421,112,379,112,59,8,100
57,2022-04-28 09:49:51.349,40,3,3,51,421,112,378,112,59,8,100
58,2022-04-28 09:50:01.412,40,3,3,51,421,112,379,112,59,8,100
59,2022-04-28 09:50:11.658,40,4,3,51,421,112,58,0,58,8,100
60,2022-04-28 09:50:21.777,0,0,0,0,0,0,0,0,0,0,200
61,2022-04-28 09:52:08.252,40,2,3,51,421,112,9,0,58,5,100
62,2022-04-28 09:52:18.458,40,2,3,51,421,112,9,0,58,5,100
63,2022-04-28 09:52:28.459,40,3,3,51,367,1,368,0,0,8,100
64,2022-04-28 09:52:38.573,40,3,3,51,421,100,374,92,58,8,100
65,2022-04-28 09:52:48.574,40,3,3,51,421,112,376,112,58,8,100
66,2022-04-28 09:52:58.574,40,3,3,52,421,112,377,112,58,8,100
67,2022-04-28 09:53:08.575,40,3,3,52,421,112,378,112,58,8,100
68,2022-04-28 09:53:18.575,40,3,3,52,421,112,379,112,58,8,100
69,2022-04-28 09:53:28.576,40,3,3,52,421,112,377,112,58,8,100
70,2022-04-28 09:53:38.576,40,3,3,52,421,112,379,112,57,8,100
71,2022-04-28 09:53:48.577,40,3,3,52,421,112,379,112,57,8,100
72,2022-04-28 09:53:58.577,40,3,3,52,421,112,380,112,57,8,100
73,2022-04-28 09:54:08.578,40,3,3,53,421,112,379,112,57,8,100
74,2022-04-28 09:54:18.578,40,3,3,53,421,112,380,112,57,8,100
75,2022-04-28 09:54:28.579,40,3,3,53,421,112,380,112,57,8,100
76,2022-04-28 09:54:38.579,40,3,3,53,421,112,381,112,56,8,100
77,2022-04-28 09:54:48.580,40,3,3,53,421,112,380,112,56,8,100
78,2022-04-28 09:54:58.580,40,3,3,53,421,112,381,112,56,8,100
79,2022-04-28 09:55:08.581,40,3,3,54,421,112,381,112,56,8,100
80,2022-04-28 09:55:18.581,40,3,3,54,421,112,381,112,56,8,100
81,2022-04-28 09:55:28.582,40,3,3,54,421,112,381,112,56,8,100
82,2022-04-28 09:55:38.582,40,3,3,54,421,112,382,112,55,8,100
83,2022-04-28 09:55:48.583,40,3,3,54,421,112,382,112,55,8,100
84,2022-04-28 09:55:58.583,40,3,3,55,421,112,383,112,55,8,100
85,2022-04-28 09:56:08.583,40,3,3,55,421,112,382,112,55,8,100
