,cg_date_time,wattmeter_wattage,pre_wattage,pre_pre_wattage
0,2022-04-28 09:40:11.525,2621.0,2604.63,2590.11
1,2022-04-28 09:40:21.674,2621.0,2604.63,2590.11
2,2022-04-28 09:40:31.747,2621.0,2604.63,2590.11
3,2022-04-28 09:40:41.784,2621.0,2604.63,2590.11
4,2022-04-28 09:40:51.854,2621.04,2604.63,2590.11
5,2022-04-28 09:41:01.871,2621.15,2604.63,2590.11
6,2022-04-28 09:41:12.855,2621.27,2604.63,2590.11
7,2022-04-28 09:41:22.872,2621.39,2604.63,2590.11
8,2022-04-28 09:41:32.872,2621.5,2604.63,2590.11
9,2022-04-28 09:41:43.857,2621.63,2604.63,2590.11
10,2022-04-28 09:41:53.857,2621.74,2604.63,2590.11
11,2022-04-28 09:42:03.858,2621.86,2604.63,2590.11
12,2022-04-28 09:42:13.858,2621.97,2604.63,2590.11
13,2022-04-28 09:42:23.874,2622.09,2604.63,2590.11
14,2022-04-28 09:42:33.859,2622.2,2604.63,2590.11
15,2022-04-28 09:42:43.860,2622.32,2604.63,2590.11
16,2022-04-28 09:42:53.860,2622.43,2604.63,2590.11
17,2022-04-28 09:43:03.861,2622.55,2604.63,2590.11
18,2022-04-28 09:43:13.877,2622.66,2604.63,2590.11
19,2022-04-28 09:43:24.862,2622.79,2604.63,2590.11
20,2022-04-28 09:43:34.862,2622.9,2604.63,2590.11
21,2022-04-28 09:43:44.863,2623.02,2604.63,2590.11
22,2022-04-28 09:43:54.879,2623.14,2604.63,2590.11
23,2022-04-28 09:44:05.864,2623.26,2604.63,2590.11
24,2022-04-28 09:44:15.880,2623.38,2604.63,2590.11
25,2022-04-28 09:44:26.865,2623.51,2604.63,2590.11
26,2022-04-28 09:44:36.865,2623.62,2604.63,2590.11
27,2022-04-28 09:44:46.866,2623.74,2604.63,2590.11
28,2022-04-28 09:44:56.866,2623.85,2604.63,2590.11
29,2022-04-28 09:45:06.867,2623.97,2604.63,2590.11
30,2022-04-28 09:45:16.883,2624.08,2604.63,2590.11
31,2022-04-28 09:45:27.868,2624.21,2604.63,2590.11
32,2022-04-28 09:45:37.884,2624.33,2604.63,2590.11
33,2022-04-28 09:45:48.869,2624.46,2604.63,2590.11
34,2022-04-28 09:45:58.869,2624.57,2604.63,2590.11
35,2022-04-28 09:46:09.854,2624.7,2604.63,2590.11
36,2022-04-28 09:46:19.870,2624.82,2604.63,2590.11
37,2022-04-28 09:46:30.855,2624.94,2604.63,2590.11
38,2022-04-28 09:46:40.855,2625.06,2604.63,2590.11
39,2022-04-28 09:46:50.856,2625.18,2604.63,2590.11
40,2022-04-28 09:47:00.856,2625.29,2604.63,2590.11
41,2022-04-28 09:47:10.857,2625.41,2604.63,2590.11
42,2022-04-28 09:47:20.857,2625.53,2604.63,2590.11
43,2022-04-28 09:47:30.858,2625.64,2604.63,2590.11
44,2022-04-28 09:47:40.858,2625.76,2604.63,2590.11
45,2022-04-28 09:47:50.859,2625.88,2604.63,2590.11
46,2022-04-28 09:48:00.875,2625.99,2604.63,2590.11
47,2022-04-28 09:48:11.860,2626.12,2604.63,2590.11
48,2022-04-28 09:48:21.860,2626.24,2604.63,2590.11
49,2022-04-28 09:48:31.861,2626.35,2604.63,2590.11
50,2022-04-28 09:48:41.861,2626.47,2604.63,2590.11
51,2022-04-28 09:48:51.862,2626.59,2604.63,2590.11
52,2022-04-28 09:49:01.862,2626.7,2604.63,2590.11
53,2022-04-28 09:49:11.863,2626.82,2604.63,2590.11
54,2022-04-28 09:49:21.879,2626.94,2604.63,2590.11
55,2022-04-28 09:49:32.864,2627.07,2604.63,2590.11
56,2022-04-28 09:49:42.880,2627.18,2604.63,2590.11
57,2022-04-28 09:49:53.880,2627.31,2604.63,2590.11
58,2022-04-28 09:50:04.021,2627.43,2604.63,2590.11
59,2022-04-28 09:50:14.716,2627.55,2604.63,2590.11
60,2022-04-28 09:52:00.106,2627.55,2604.63,2590.11
61,2022-04-28 09:52:10.342,2627.55,2604.63,2590.11
62,2022-04-28 09:52:20.474,2627.55,2604.63,2590.11
63,2022-04-28 09:52:30.479,2627.55,2604.63,2590.11
64,2022-04-28 09:52:40.589,2627.59,2604.63,2590.11
65,2022-04-28 09:52:50.590,2627.71,2604.63,2590.11
66,2022-04-28 09:53:00.590,2627.82,2604.63,2590.11
67,2022-04-28 09:53:10.591,2627.94,2604.63,2590.11
68,2022-04-28 09:53:20.591,2628.06,2604.63,2590.11
69,2022-04-28 09:53:30.592,2628.17,2604.63,2590.11
70,2022-04-28 09:53:40.592,2628.29,2604.63,2590.11
71,2022-04-28 09:53:50.593,2628.41,2604.63,2590.11
72,2022-04-28 09:54:00.593,2628.53,2604.63,2590.11
73,2022-04-28 09:54:10.609,2628.64,2604.63,2590.11
74,2022-04-28 09:54:21.594,2628.77,2604.63,2590.11
75,2022-04-28 09:54:31.594,2628.89,2604.63,2590.11
76,2022-04-28 09:54:41.595,2629.01,2604.63,2590.11
77,2022-04-28 09:54:51.595,2629.12,2604.63,2590.11
78,2022-04-28 09:55:01.612,2629.24,2604.63,2590.11
79,2022-04-28 09:55:12.612,2629.37,2604.63,2590.11
80,2022-04-28 09:55:23.613,2629.5,2604.63,2590.11
81,2022-04-28 09:55:34.597,2629.63,2604.63,2590.11
82,2022-04-28 09:55:44.598,2629.75,2604.63,2590.11
83,2022-04-28 09:55:54.598,2629.86,2604.63,2590.11
84,2022-04-28 09:56:04.599,2629.98,2604.63,2590.11
85,2022-04-28 09:56:14.615,2630.1,2604.63,2590.11
86,2022-04-28 09:56:25.616,2630.23,2604.63,2590.11
87,2022-04-28 09:56:35.725,2630.35,2604.63,2590.11
88,2022-04-28 09:56:46.710,2630.48,2604.63,2590.11
89,2022-04-28 09:56:56.711,2630.6,2604.63,2590.11
90,2022-04-28 09:57:06.727,2630.72,2604.63,2590.11
91,2022-04-28 09:57:17.727,2630.85,2604.63,2590.11
92,2022-04-28 09:57:27.728,2630.97,2604.63,2590.11
93,2022-04-28 09:57:37.728,2631.08,2604.63,2590.11
94,2022-04-28 09:57:48.713,2631.21,2604.63,2590.11
95,2022-04-28 09:57:58.714,2631.33,2604.63,2590.11
96,2022-04-28 09:58:08.714,2631.45,2604.63,2590.11
97,2022-04-28 09:58:18.715,2631.57,2604.63,2590.11
98,2022-04-28 09:58:28.715,2631.69,2604.63,2590.11
99,2022-04-28 09:58:38.731,2631.81,2604.63,2590.11
100,2022-04-28 09:58:48.732,2631.93,2604.63,2590.11
101,2022-04-28 09:58:59.717,2632.06,2604.63,2590.11
102,2022-04-28 09:59:09.717,2632.18,2604.63,2590.11
103,2022-04-28 09:59:19.718,2632.3,2604.63,2590.11
104,2022-04-28 09:59:29.718,2632.41,2604.63,2590.11
