,cg_date_time,emg_btn,charger_status,error_code,soc,enable_volt,enable_ampere,volt,ampere,remain_time,charging_code,state
0,2022-04-29 13:23:24.650,0,1,3,0,0,0,8,0,0,3,100
1,2022-04-29 13:23:34.671,0,1,3,0,0,0,8,0,0,3,100
2,2022-04-29 13:23:44.781,0,1,3,0,0,0,8,0,0,3,100
3,2022-04-29 13:23:54.835,0,1,3,0,0,0,8,0,0,3,100
4,2022-04-29 13:24:04.983,0,1,3,0,0,0,8,0,0,3,100
5,2022-04-29 13:24:15.046,0,1,3,0,0,0,8,0,0,3,100
6,2022-04-29 13:24:25.046,0,1,3,0,0,0,8,0,0,3,100
7,2022-04-29 13:24:35.224,0,1,3,0,0,0,8,0,0,3,100
8,2022-04-29 13:27:35.410,0,1,3,0,0,0,8,0,0,3,100
9,2022-04-29 13:27:45.501,0,1,3,0,0,0,8,0,0,3,100
10,2022-04-29 13:27:55.541,0,1,3,0,0,0,8,0,0,3,100
11,2022-04-29 13:28:05.542,0,1,3,0,0,0,8,0,0,3,100
12,2022-04-29 13:28:15.606,0,1,3,0,0,0,7,0,0,3,100
13,2022-04-29 13:32:24.691,0,1,3,0,0,0,8,0,0,3,100
14,2022-04-29 13:32:34.691,0,1,3,0,0,0,8,0,0,3,100
15,2022-04-29 13:32:44.734,0,2,3,0,0,0,8,0,0,5,100
16,2022-04-29 13:32:54.735,0,2,3,0,0,0,8,0,0,5,100
17,2022-04-29 13:33:04.735,0,2,3,0,0,0,8,0,0,5,100
18,2022-04-29 13:33:14.736,0,2,3,0,0,0,8,0,0,5,100
19,2022-04-29 13:33:24.736,40,2,3,0,0,0,9,0,0,5,100
20,2022-04-29 13:33:34.736,40,2,3,52,0,0,8,0,0,6,100
21,2022-04-29 13:33:44.763,40,3,3,52,421,29,362,22,67,8,100
22,2022-04-29 13:33:54.811,40,3,3,52,421,112,368,110,67,8,100
23,2022-04-29 13:34:04.811,40,3,3,52,421,112,369,112,67,8,100
24,2022-04-29 13:34:14.812,40,3,3,52,421,112,370,112,67,8,100
25,2022-04-29 13:34:24.812,40,3,3,52,421,112,370,112,67,8,100
26,2022-04-29 13:34:34.813,40,3,3,52,421,112,371,112,67,8,100
27,2022-04-29 13:34:45.414,0,0,0,0,0,0,0,0,0,0,200
28,2022-04-29 13:34:55.476,0,0,0,0,0,0,0,0,0,0,200
29,2022-04-29 13:57:23.243,0,1,3,52,421,112,8,0,67,3,100
30,2022-04-29 13:57:33.306,0,1,3,52,421,112,8,0,67,3,100
31,2022-04-29 14:03:22.605,0,1,3,0,0,0,8,0,0,3,100
32,2022-04-29 14:03:32.766,0,1,3,0,0,0,8,0,0,3,100
33,2022-04-29 14:03:52.874,0,2,3,0,0,0,8,0,0,5,100
34,2022-04-29 14:04:02.924,40,2,3,0,0,0,8,0,0,5,100
35,2022-04-29 14:04:12.925,40,2,3,52,0,0,8,0,0,7,100
36,2022-04-29 14:04:22.983,40,3,3,52,421,30,362,0,68,8,100
37,2022-04-29 14:04:32.984,40,3,3,52,421,112,368,0,67,8,100
38,2022-04-29 14:04:42.984,40,3,3,53,421,112,370,0,67,8,100
39,2022-04-29 14:04:53.063,40,3,3,53,421,112,370,0,67,8,100
40,2022-04-29 14:05:03.063,40,3,3,53,421,112,371,0,67,8,100
41,2022-04-29 14:05:13.095,40,3,3,53,421,112,371,0,66,8,100
42,2022-04-29 14:05:23.173,40,3,3,53,421,112,372,0,66,8,100
43,2022-04-29 14:05:33.174,40,3,3,53,421,112,372,0,66,8,100
44,2022-04-29 14:05:43.235,0,0,0,0,0,0,0,0,0,0,200
45,2022-04-29 14:05:53.337,0,0,0,0,0,0,0,0,0,0,200
46,2022-04-29 14:08:00.599,40,1,3,53,421,112,8,0,66,3,100
47,2022-04-29 14:08:10.682,40,2,3,53,421,112,8,0,66,5,100
48,2022-04-29 14:08:20.817,40,2,3,53,0,0,9,0,0,6,100
49,2022-04-29 14:08:30.855,40,3,3,53,421,24,364,16,66,8,100
