,cg_date_time,cardtype,cardnum,server_wattage,chargingtime,volt,ampere,state
0,2022-04-29 13:32:44.484,1,0111010101010000,0.0,0,0.0,0.0,100
1,2022-04-29 13:33:43.387,,,0.0,2,361.0,7.0,200
2,2022-04-29 13:34:12.812,,,254.0,31,370.0,112.0,200
3,2022-04-29 13:34:36.159,,0111010101010000,506.0,54,,,300
4,2022-04-29 14:03:57.939,1,0913090212010012,0.0,0,0.0,0.0,100
5,2022-04-29 14:04:21.280,,,0.0,1,361.0,0.0,200
6,2022-04-29 14:04:50.734,,,250.0,31,371.0,0.0,200
7,2022-04-29 14:05:21.189,,,595.0,101,371.0,0.0,200
8,2022-04-29 14:05:40.485,,0913090212010012,803.0,119,,,300
9,2022-04-29 14:08:12.247,1,0913090212010012,0.0,0,0.0,0.0,100
10,2022-04-29 14:08:29.502,,,0.0,1,363.0,2.0,200
11,2022-04-29 14:08:58.951,,,252.0,31,372.0,112.0,200
12,2022-04-29 14:09:29.395,,,599.0,101,373.0,112.0,200
13,2022-04-29 14:09:43.610,,0913090212010012,656.0,106,,,300
14,2022-04-29 14:10:31.163,1,0913090212010012,0.0,0,0.0,0.0,100
15,2022-04-29 14:14:08.247,1,0913090212010012,0.0,0,0.0,0.0,100
16,2022-04-29 14:18:16.424,1,0111010101010000,0.0,0,0.0,0.0,100
17,2022-04-29 14:18:30.617,,,0.0,1,363.0,1.0,200
18,2022-04-29 14:19:00.043,,,240.0,31,373.0,112.0,200
19,2022-04-29 14:19:30.513,,,599.0,101,374.0,112.0,200
20,2022-04-29 14:20:00.983,,,948.0,132,375.0,112.0,200
21,2022-04-29 14:20:06.064,,0111010101010000,1006.0,136,,,300
